SL_NO,PLAYER_NAME,COUNTRY,ROLE,BASE PRICE,RATING,BAT,PWR,BWL,TEC,CLT,SET_NO
51,HARSHAL PATEL,INDIA,BOWLER,150,82,33,36,86,87,84,3
52,RACHIN RAVINDRA,NEW ZEALAND,ALL ROUNDER,150,88,90,86,76,90,87,4
53,AXAR PATEL,INDIA,ALL ROUNDER,200,90,84,80,91,92,90,4
54,MITCHELL MARSH,NEW ZEALAND,ALL ROUNDER,200,90,91,93,79,87,89,4
55,SUNIL NARINE,WEST INDIES,ALL ROUNDER,200,95,84,92,97,96,94,4
56,MAHIPAL LOMROR,INDIA,ALL ROUNDER,50,75,79,82,42,72,70,4
57,SHAHRUKH KHAN,INDIA,ALL ROUNDER,100,80,82,90,38,73,76,4
58,VIJAY SHANKAR,INDIA,ALL ROUNDER,100,76,80,76,60,79,73,4
59,VENKATESH IYER,INDIA,ALL ROUNDER,150,85,86,88,66,84,83,4
60,MARCUS STOINIS,AUSTRALIA,ALL ROUNDER,200,89,89,92,74,84,86,4
61,KYLE MAYERS,WEST INDIES,ALL ROUNDER,100,82,85,89,58,78,77,4
62,DAVID WILLEY,ENGLAND,ALL ROUNDER,100,83,76,74,85,82,84,4
63,HARDIK PANDYA,INDIA,ALL ROUNDER,200,93,91,94,84,87,92,4
64,SAM CURRAN ,ENGLAND,ALL ROUNDER,200,87,84,82,87,86,90,4
65,GLENN MAXWELL,AUSTRALIA,ALL ROUNDER,200,90,93,96,73,91,92,4
66,ABHISHEK SHARMA,INDIA,ALL ROUNDER,150,91,93,94,58,88,86,4
67,ASHUTOSH SHARMA,INDIA,ALL ROUNDER,100,80,84,88,20,76,79,4
68,NITISH KUMAR REDDY,INDIA,ALL ROUNDER,150,87,88,88,76,85,82,4
69,CAMERON GREEN,AUSTRALIA,ALL ROUNDER,150,89,89,87,79,90,83,4
70,WASHINGTON SUNDAR,INDIA,ALL ROUNDER,150,87,84,78,89,90,84,4
71,SHARDUL THAKUR,INDIA,ALL ROUNDER,150,83,74,78,86,79,86,4
72,LALIT YADAV,INDIA,ALL ROUNDER,20,72,72,68,74,71,69,4
73,AZMATULLAH OMARZAI,AFGHANISTAN,ALL ROUNDER,100,83,82,81,80,82,84,4
74,ANDRE RUSSEL,WEST INDIES,ALL ROUNDER,200,95,94,99,86,84,97,4
75,RAMANDEEP SINGH,INDIA,ALL ROUNDER,100,79,78,81,67,72,74,4
76,KRUNAL PANDYA,INDIA,ALL ROUNDER,100,85,82,80,84,88,89,4
77,NEHAL WADHERA,INDIA,ALL ROUNDER,100,79,82,82,45,77,76,4
78,GERALD COETZEE,SOUTH AFRICA,ALL ROUNDER,100,83,68,72,85,79,83,4
79,CHRIS WOAKES,ENGLAND,ALL ROUNDER,100,87,80,74,90,91,86,4
80,SIKANDAR RAZA,ZIMBABWE,ALL ROUNDER,20,81,84,79,84,82,81,4
81,SWAPNIL SINGH,INDIA,ALL ROUNDER,20,69,63,64,73,69,66,4
82,WANINDU HASARANGA,SRI LANKA,ALL ROUNDER,100,90,78,76,94,92,88,4
83,MARCO JANSEN,SOUTH AFRICA,ALL ROUNDER,100,87,82,80,91,88,86,4
84,MOEEN ALI,ENGLAND,ALL ROUNDER,100,88,87,86,86,91,88,4
85,ANUKUL ROY,INDIA,ALL ROUNDER,20,68,60,61,73,69,64,4
86,KRISHNAPPA GOWTHAM,INDIA,ALL ROUNDER,20,71,70,78,72,69,68,4
87,DEEPAK HOODA,INDIA,ALL ROUNDER,100,79,81,82,70,78,75,4
88,MOHAMMAD NABI,AFGHANISTAN,ALL ROUNDER,100,88,82,84,88,90,91,4
89,ROMARIO SHEPHERD,WEST INDIES,ALL ROUNDER,100,84,81,91,77,73,82,4
90,RISHI DHAWAN,INDIA,ALL ROUNDER,20,72,68,65,74,74,73,4
91,KARN SHARMA,INDIA,ALL ROUNDER,50,77,66,69,84,82,79,4
92,WILL JACKS,ENGLAND,ALL ROUNDER,100,86,87,89,74,82,82,4
93,RAHUL TEWATIA,INDIA,ALL ROUNDER,50,80,82,86,74,78,90,4
94,BEN STOKES,ENGLAND,ALL ROUNDER,150,92,92,90,88,94,95,4
95,PAWAN NEGI,INDIA,ALL ROUNDER,20,73,71,74,76,73,72,4
96,SHIVAM DUBE,INDIA,ALL ROUNDER,150,89,90,94,68,82,85,4
97,SHAKIB AL HASSAN,BANGLADESH,ALL ROUNDER,100,90,88,78,92,95,93,4
98,ODEAN SMITH,WEST INDIES,ALL ROUNDER,50,77,76,92,73,66,74,4
99,LIAM LIVINGSTONE,ENGLAND,ALL ROUNDER,150,88,90,95,78,84,86,4
100,KEEMO PAUL,WEST INDIES,ALL ROUNDER,50,77,72,78,78,73,75,4
101,SHERFANE RUTHERFORD,WEST INDIES,ALL ROUNDER,50,84,85,90,60,78,81,4
102,JAYANT YADAV,INDIA,ALL ROUNDER,20,73,72,65,79,77,74,4
103,KEDAR JADHAV,INDIA,ALL ROUNDER,50,79,82,74,62,84,79,4
104,COLIN MUNRO,NEW ZEALAND,ALL ROUNDER,100,81,83,89,58,78,82,4
105,DARYL MITCHELL,NEW ZEALAND,ALL ROUNDER,100,88,90,84,68,91,90,4
106,HARPREET BRAR,INDIA,ALL ROUNDER,50,76,48,52,79,80,76,4
107,MOISES HENRIQUES,AUSTRALIA,ALL ROUNDER,150,84,81,83,80,82,83,4
108,MITCHELL SANTNER,NEW ZEALAND,ALL ROUNDER,150,88,80,74,91,92,89,4
109,JASON HOLDER,WEST INDIES,ALL ROUNDER,100,87,82,81,88,86,89,4
110,DANIEL SAMS,AUSTRALIA,ALL ROUNDER,50,78,72,78,82,76,77,4
111,PRAVIN DUBE,INDIA,ALL ROUNDER,20,72,66,63,78,75,70,4
112,CHRIS JORDAN,ENGLAND,ALL ROUNDER,100,82,69,75,85,84,85,4
113,ASHTON TURNER,AUSTRALIA,ALL ROUNDER,50,78,78,84,52,79,83,4
114,HARRY BROOK,ENGLAND,BATSMAN,100,84,85,87,24,86,82,5
115,MANISH PANDEY,INDIA,BATSMAN,100,79,81,73,22,84,81,5
116,CHRIS LYNN,AUSTRALIA,BATSMAN,100,84,85,93,28,77,80,5
117,MANDEEP SINGH,INDIA,BATSMAN,20,74,75,61,29,79,67,5
118,HANUMA VIHARI,INDIA,BATSMAN,20,69,71,39,42,84,77,5
119,EVIN LEWIS,WEST INDIES,BATSMAN,50,80,82,92,20,74,79,5
120,DAVID MILLER,SOUTH AFRICA,BATSMAN,100,89,86,91,24,85,92,5
121,SHUBMAN GILL,INDIA,BATSMAN,200,90,92,84,22,93,87,5
122,GURKEERAT SINGH,INDIA,BATSMAN,50,68,70,64,57,73,67,5
123,MARNUS LABUSHANE,AUSTRALIA,BATSMAN,50,78,83,65,55,94,86,5
124,ALEX HALES,ENGLAND,BATSMAN,100,86,86,90,18,79,84,5
125,ROVMAN POWELL,WEST INDIES,BATSMAN,100,86,83,92,58,73,86,5
126,RINKU SINGH,INDIA,BATSMAN,100,87,85,90,62,82,93,5
127,MANAN VOHRA,INDIA,BATSMAN,50,73,76,78,24,75,71,5
128,JASON ROY,ENGLAND,BATSMAN,100,86,87,91,20,80,85,5
129,SURYAKUMAR YADAV,INDIA,BATSMAN,200,92,92,93,47,95,90,5
130,TRAVIS HEAD,AUSTRALIA,BATSMAN,200,92,91,94,59,88,92,5
131,ABDUL SAMAD,INDIA,BATSMAN,50,77,76,88,34,68,74,5
132,DEVON CONWAY,NEW ZEALAND,BATSMAN,150,84,88,74,16,91,85,5
133,NAJIBULLAH ZADRAN,AFGHANISTAN,BATSMAN,50,79,82,89,32,76,88,5
134,SANDEEP SHARMA,INDIA,BOWLER,100,85,31,24,88,90,87,6
135,ALZARRI JOSEPH,WEST INDIES,BOWLER,100,82,46,58,86,81,82,6
136,BHUVANESHWAR KUMAR,INDIA,BOWLER,200,92,58,44,95,94,92,6
137,T NATARAJAN,INDIA,BOWLER,150,85,24,18,89,88,87,6
138,AKASH MADHWAL,INDIA,BOWLER,50,78,22,18,82,79,80,6
139,SHREYAS GOPAL,INDIA,BOWLER,50,79,42,38,83,84,79,6
140,RAVI BISHNOI,INDIA,BOWLER,150,84,28,24,88,89,84,6
141,HARSHIT RANA,INDIA,BOWLER,200,84,46,52,87,82,83,6
142,DUSHMANTA CHAMEERA,SRI LANKA,BOWLER,100,82,34,42,86,79,81,6
143,KARTIK TYAGI,INDIA,BOWLER,100,76,24,28,79,75,77,6
144,UMESH YADAV,INDIA,BOWLER,100,87,42,56,89,81,82,6
145,RASHID KHAN,AFGHANISTAN,BOWLER,200,94,68,78,97,96,95,6
146,MOHIT SHARMA,INDIA,BOWLER,150,82,30,26,86,87,84,6
147,ANRICH NORTJE,SOUTH AFRICA,BOWLER,200,89,24,35,90,88,87,6
148,KULDEEP YADAV,INDIA,BOWLER,200,91,28,26,94,94,91,6
149,ISHANT SHARMA,INDIA,BOWLER,150,85,22,24,88,90,88,6
150,KHALEEL AHMED,INDIA,BOWLER,100,84,18,20,86,84,82,6
151,MAHEESH THEEKSHANA,SRI LANKA,BOWLER,150,85,30,28,90,91,86,6
152,YUZI CHAHAL,INDIA,BOWLER,200,93,16,14,94,93,91,6
153,TUSHAR DESHPANDE,INDIA,BOWLER,100,82,28,34,84,80,79,6
154,MUSTAFIZUR RAHMAN,BANGLADESH,BOWLER,100,88,20,22,92,89,85,6
155,JHYE RICHARDSON,AUSTRALIA,BOWLER,100,84,34,40,88,87,83,6
156,SAI KISHORE,INDIA,BOWLER,50,80,24,28,84,86,81,6
157,SANDEEP WARRIER,INDIA,BOWLER,20,68,18,20,73,72,70,6
158,SUYASH SHARMA,INDIA,BOWLER,50,77,8,10,83,80,77,6
159,VARUN CHAKRAVARTHY,INDIA,BOWLER,150,91,12,14,93,94,89,6
160,SHAMAR JOSEPH,WEST INDIES,BOWLER,100,84,42,48,88,84,88,6
161,MOHSIN KHAN,INDIA,BOWLER,50,83,32,36,86,84,83,6
162,MAYANK YADAV,INDIA,BOWLER,100,85,28,48,88,80,78,6
163,UMRAN MALIK,INDIA,BOWLER,100,83,30,52,85,72,74,6
164,MAYANK MARKANDE,INDIA,BOWLER,50,80,34,38,82,81,76,6
165,LOCKIE FERGUSON,NEW ZEALAND,BOWLER,150,88,31,58,91,85,86,6
166,VYSHAK VIJAY KUMAR,INDIA,BOWLER,50,77,30,42,80,77,73,6
167,MOHAMMAD SIRAJ,INDIA,BOWLER,200,90,34,44,92,90,89,6
168,AVESH KHAN,INDIA,BOWLER,100,83,38,56,87,83,80,6
169,ARSHDEEP SINGH,INDIA,BOWLER,150,90,35,46,91,89,88,6
170,RAHUL CHAHAR,INDIA,BOWLER,100,80,38,45,82,83,79,6
171,DEEPAK CHAHAR,INDIA,BOWLER,150,88,58,64,89,90,84,6
172,NATHAN ELLIS,AUSTRALIA,BOWLER,100,85,40,50,89,89,85,6
173,NAVDEEP SAINI,INDIA,BOWLER,50,79,44,58,82,74,72,6
174,KULDEEP SEN,INDIA,BOWLER,50,77,24,40,80,73,71,6
175,YASH DAYAL,INDIA,BOWLER,100,80,24,34,83,82,77,6
176,REECE TOPLY,ENGLAND,BOWLER,150,83,33,45,86,84,80,6
177,HIMANSHU SHARMA,INDIA,BOWLER,20,67,22,30,68,65,60,6
178,FAZALHAQ FAROOQI,AFGHANISTAN,BOWLER,50,83,26,36,87,85,81,6
179,M SIDDHARTH,INDIA,BOWLER,20,74,20,28,77,76,70,6
180,YASH THAKUR,INDIA,BOWLER,20,76,17,26,81,74,73,6
181,MUKESH CHOUDHARY,INDIA,BOWLER,100,77,24,36,80,77,72,6
182,MATHEESHA PATHIRANA,SRI LANKA,BOWLER,150,89,24,38,92,91,90,6
183,JOFRA ARCHER,ENGLAND,BOWLER,150,91,64,72,94,90,92,6
184,DAVID MALAN,ENGLAND,BATSMAN,100,80,85,76,24,90,83,7
185,RUTURAJ GAIKWAD,INDIA,BATSMAN,200,88,89,80,28,91,85,7
186,MANOJ TIWARY,INDIA,BATSMAN,50,75,78,68,39,81,79,7
187,FAF DU PLESISSIS,SOUTH AFRICA,BATSMAN,150,90,89,85,27,93,92,7
188,KARUN NAIR,INDIA,BATSMAN,100,75,77,72,22,82,76,7
189,MARTIN GUPTIL,NEW ZEALAND,BATSMAN,100,87,88,92,27,84,90,7
190,ISHANK JAGGI,INDIA,BATSMAN,20,68,72,62,22,76,66,7
191,ROBIN UTHAPPA,INDIA,BATSMAN,100,86,87,84,33,85,89,7
192,STEVE SMITH,AUSTRALIA,BATSMAN,100,88,92,79,59,94,95,7
193,SHIKHAR DHAWAN,INDIA,BATSMAN,150,90,91,83,14,92,91,7
194,RASSIE VAN DER DUSSEN,SOUTH AFRICA,BATSMAN,100,79,83,76,28,92,88,7
195,PRIYAM GARG,INDIA,BATSMAN,20,71,74,63,25,78,70,7
196,SHAIK RASHEED,INDIA,BATSMAN,50,72,75,64,31,80,71,7
197,SAMEER RIZVI,INDIA,BATSMAN,100,78,79,87,39,73,78,7
198,AVINASH RAOARAVELLY,INDIA,BATSMAN,20,70,74,78,22,74,72,7
199,YASH DHULL,INDIA,BATSMAN,50,72,77,67,36,82,75,7
200,JAKE FRASER-MCGURK,AUSTRALIA,BATSMAN,100,84,84,94,34,70,80,7
201,SHAI HOPE,WEST INDIES,BATSMAN,100,79,84,72,14,92,90,7
202,ANGKRISH RAGHUVANSHI,INDIA,BATSMAN,100,83,83,79,28,84,83,7
203,AIDEN MARKRAM,SOUTH AFRICA,BATSMAN,150,85,87,82,68,91,90,7
204,TIM DAVID,AUSTRALIA,BATSMAN,150,88,89,96,39,74,89,7
205,N. TILAK VARMA,INDIA,BATSMAN,150,89,89,85,34,91,90,7
206,HARPREET BHATIA,INDIA,BATSMAN,20,72,76,68,34,82,74,7
207,SHUBHAM DUBEY,INDIA,BATSMAN,20,75,78,86,24,71,78,7
208,SAURAV CHAUHAN,INDIA,BATSMAN,20,71,73,84,32,70,74,7
209,SWASTIK CHHIKARA,INDIA,BATSMAN,50,71,71,83,17,74,74,7
210,MARK WOOD,ENGLAND,BOWLER,100,85,24,37,91,86,90,8
211,KULWANT KHEJROLIA,INDIA,BOWLER,20,67,22,37,75,72,72,8
212,MUJEEB UR RAHMAN,AFGHANISTAN,BOWLER,100,84,23,40,90,92,86,8
213,SIDDHARTH KAUL,INDIA,BOWLER,50,76,25,40,82,80,79,8
214,PRASIDH KRISHNA,INDIA,BOWLER,100,84,20,36,89,84,82,8
215,TIM SOUTHEE,NEW ZEALAND,BOWLER,100,85,36,52,90,89,88,8
216,LUNGISANI NGIDI,SOUTH AFRICA,BOWLER,100,85,25,42,89,84,85,8
217,ANIKET CHOUDHARY,INDIA,BOWLER,20,69,22,38,79,78,75,8
218,JOSH HAZELWOOD,AUSTRALIA,BOWLER,200,91,24,40,95,94,93,8
219,ISH SODHI,NEW ZEALAND,BOWLER,100,82,32,48,89,90,83,8
220,JAGADEESHA SUCHIT,INDIA,BOWLER,20,73,62,58,83,84,78,8
221,RAHUL SHUKLA,INDIA,BOWLER,20,70,25,45,77,75,73,8
222,JASON BEHRENDOFF,AUSTRALIA,BOWLER,50,81,24,40,87,88,84,8
223,SHAHBAZ NADEEM,INDIA,BOWLER,50,75,32,44,80,82,76,8
224,KAMLESH NAGARKOTI,INDIA,BOWLER,50,76,39,52,82,78,74,8
225,PIYUSH CHAWLA,INDIA,BOWLER,100,86,42,56,90,91,87,8
226,ADIL RASHID,ENGLAND,BOWLER,100,86,38,50,92,94,89,8
227,ANKIT SINGH RAJPOOT,INDIA,BOWLER,50,74,20,38,82,78,76,8
228,MURUGAN ASHWIN,INDIA,BOWLER,50,75,24,40,83,85,78,8
229,BASIL THAMPI,INDIA,BOWLER,20,73,24,42,80,76,72,8
230,NATHAN COULTER-NILE,AUSTRALIA,BOWLER,100,84,52,74,88,85,84,8
231,RAHUL SHARMA,INDIA,BOWLER,20,71,26,39,82,83,77,8
232,AMIT MISHRA,INDIA,BOWLER,100,88,36,50,92,93,89,8
233,ADAM ZAMPA,AUSTRALIA,BOWLER,100,88,30,44,92,93,88,8
234,RICHARD GLEESON,ENGLAND,BOWLER,100,79,18,34,84,82,79,8
235,RAJVARDHAN HANGARGKER,INDIA,BOWLER,20,73,54,72,82,75,76,8
236,RASIKH DAR,INDIA,BOWLER,20,79,28,46,83,77,75,8
237,MANAV SUTHAR,INDIA,BOWLER,20,77,42,48,84,83,76,8
238,SUSHANT MISHRA,INDIA,BOWLER,20,72,22,38,81,78,74,8
239,SAKIB HUSSAIN,INDIA,BOWLER,20,78,20,36,80,75,72,8
240,KUMAR KARTIKEYA SINGH,INDIA,BOWLER,20,76,28,42,84,84,77,8
241,DILSHAN MADHUSHANKA,SRI LANKA,BOWLER,50,81,20,34,88,83,82,8
242,RAJAN KUMAR,INDIA,BOWLER,20,69,18,30,77,74,71,8
243,SHAHBAZ AHMED,INDIA,BOWLER,50,80,74,68,82,83,80,8
244,ARAVELLY AVANISH,INDIA,WICKET KEEPER,20,68,76,70,17,73,71,9
245,ANUJ RAWAT,INDIA,WICKET KEEPER,50,76,75,75,22,73,74,9
246,ABISHEK POREL,INDIA,WICKET KEEPER,100,80,81,78,18,79,80,9
247,RICKY BHUI,INDIA,WICKET KEEPER,50,72,76,68,19,74,72,9
248,KUMAR KUSHAGRA,SRI LANKA,WICKET KEEPER,50,74,74,66,18,71,71,9
249,RAHMANULLAH GURBAZ,AFGHANISTAN,WICKET KEEPER,100,84,84,89,18,78,82,9
250,SRIKAR BHARAT,INDIA,WICKET KEEPER,50,75,73,62,18,76,73,9
251,ROBIN MINZ,INDIA,WICKET KEEPER,50,76,77,82,18,70,73,9
252,MATTHEW WADE,AUSTRALIA,WICKET KEEPER,100,81,80,78,18,82,84,9
253,WRIDDHIMAN SAHA,INDIA,WICKET KEEPER,100,81,78,66,18,84,81,9
254,UPENDRA YADAV,INDIA,WICKET KEEPER,20,68,69,58,18,67,66,9
255,HEINRICH KLAASEN,SOUTH AFRICA,WICKET KEEPER,200,92,91,95,18,89,91,9
256,NICHOLAS POORAN,WEST INDIES,WICKET KEEPER,200,91,90,96,18,86,90,9
257,KL RAHUL,INDIA,WICKET KEEPER,200,90,91,82,18,91,87,9
258,JOS BUTTLER,ENGLAND,WICKET KEEPER,200,94,95,94,18,91,94,9
259,SANJU SAMSON,INDIA,WICKET KEEPER,200,90,91,88,18,87,87,9
260,KUNAL SINGH RATHORE,INDIA,WICKET KEEPER,20,71,72,68,18,69,69,9
261,TOM KOHLER-CADMORE,ENGLAND,WICKET KEEPER,50,76,78,82,18,73,74,9
262,JONNY BAIRSTOW,ENGLAND,WICKET KEEPER,100,87,89,90,18,86,85,9
263,PRABHSIMRAN SINGH,INDIA,WICKET KEEPER,100,83,81,84,18,75,78,9
264,ISHAN KISHAN,INDIA,WICKET KEEPER,150,88,87,88,18,82,84,9
265,VISHNU VINOD,INDIA,WICKET KEEPER,20,72,73,70,18,69,70,9
266,PHILIP SALT,ENGLAND,WICKET KEEPER,150,88,89,92,18,82,86,9
267,SAM BILLINGS,ENGLAND,WICKET KEEPER,100,78,79,74,18,79,78,9
268,JOSHUA PHILIPPE,AUSTRALIA,WICKET KEEPER,100,80,81,83,18,76,78,9
269,RISHAB PANT,INDIA,WICKET KEEPER,200,92,93,92,18,90,93,9
270,AKSHDEEP NATH,INDIA,WICKET KEEPER,20,70,72,68,32,68,69,9
271,JOSH INGLIS,AUSTRALIA,WICKET KEEPER,100,87,86,88,18,83,83,9
272,DHRUV JUREL,INDIA,WICKET KEEPER,100,82,82,80,18,83,84,9
273,VAIBHAV SURYAVANSHI,INDIA,BATSMAN,50,85,88,96,18,68,82,10
274,ZEESHAN ANSARI,INDIA,BOWLER,50,71,24,38,78,74,70,10
275,JACOB BETHELL,ENGLAND,ALL ROUNDER,50,83,84,85,72,82,80,10
276,AYUSH MATHRE,INDIA,BATSMAN,100,81,84,88,26,80,79,10
277,ABHINAV MANOHAR,INDIA,BATSMAN,20,77,80,84,24,74,76,10
278,NAMAN DHIR,INDIA,ALL ROUNDER,100,80,81,83,42,76,78,10
279,ARJUN TENDULKAR,INDIA,BOWLER,50,72,40,56,78,72,71,10
280,DIGVESH RATHI,INDIA,BOWLER,50,79,20,34,81,72,73,10
281,PRIYANSH ARYA,INDIA,BATSMAN,50,83,85,89,18,73,76,10
282,VIPRAJ NIGAM,INDIA,ALL ROUNDER,50,74,52,58,76,73,72,10
283,BRYDON CARSE,ENGLAND,ALL ROUNDER,100,83,58,72,86,82,82,10
284,XAVIER BARTLETT,AUSTRALIA,BOWLER,50,79,34,48,84,80,78,10
285,ESHAN MALINGA,SRI LANKA,BOWLER,50,79,22,36,85,79,74,10
286,SAURABH NETRAVALKAR,INDIA,BOWLER,20,75,28,40,83,83,80,10
287,VIGNESH PUTHUR,INDIA,BOWLER,20,73,22,34,79,75,71,10
288,ANSHUL KAMBOJ,INDIA,BOWLER,100,78,50,66,80,81,79,10
289,KAMINDU MENDIS,SRI LANKA,ALL ROUNDER,50,81,84,78,80,86,81,10
290,PRINCE YADAV,INDIA,BOWLER,20,80,24,40,82,78,83,10
291,ADAM MILNE,NEW ZEALAND,BOWLER,50,82,20,36,88,82,81,10
292,SATYANARAYANA RAJU,INDIA,BOWLER,20,69,18,30,76,71,68,10
293,WAYNE PARNELL,SOUTH AFRICA,ALL ROUNDER,50,83,62,70,86,84,83,10
294,GURJAPNEET SINGH,INDIA,BOWLER,20,74,24,38,80,74,72,10
295,URVIL PATEL,INDIA,WICKET KEEPER,20,79,82,86,17,79,82,10
296,JAMIE OVERTON,ENGLAND,ALL ROUNDER,50,83,73,81,79,82,83,10
297,TRISTAN STUBBS,SOUTH AFRICA,WICKET KEEPER,150,86,88,91,18,82,85,10
298,KUSAL MENDIS,SRI LANKA,BATSMAN,100,84,85,80,18,84,83,10
299,SAI SUDARSHAN,INDIA,BATSMAN,100,88,92,80,18,90,87,10
300,AYUSH BADONI,INDIA,BATSMAN,50,81,82,78,36,80,81,10
301,SARFARAZ KHAN,INDIA,BATSMAN,20,79,83,70,18,82,77,10
302,KARTIK SHARMA,INDIA,WICKET KEEPER,20,71,75,60,20,66,65,10
303,RAMAKRISHNA GHOSH,INDIA,ALL ROUNDER,20,74,65,70,72,72,72,10
304,PRASHANT VEER,INDIA,ALL ROUNDER,20,75,71,70,68,69,68,10
305,AKEAL HOSEIN,WEST INDIES,BOWLER,50,83,52,60,90,89,84,10
306,AUQIB NABI,INDIA,BOWLER,20,75,34,48,79,74,72,10
307,FINN ALLEN,NEW ZEALAND,WICKET KEEPER,100,84,84,92,18,76,80,10
308,TIM SEIFERT,NEW ZEALAND,WICKET KEEPER,50,80,80,82,18,77,78,10
309,BLESSING MUZARABANI,ZIMBABWE,BOWLER,20,82,18,30,90,84,84,10
310,MUKUL CHOUDHARY,INDIA,WICKET KEEPER,20,74,78,81,11,73,70,10
311,RYAN RICKELTON,SOUTH AFRICA,WICKET KEEPER,100,84,85,84,18,82,82,10
312,RAJ ANGAD BAWA,INDIA,ALL ROUNDER,20,76,64,72,74,73,74,10
313,CORBIN BOSCH,SOUTH AFRICA,ALL ROUNDER,50,80,66,76,82,79,79,10
314,ALLAH GHAZANFAR,AFGHANISTAN,BOWLER,20,78,24,38,88,84,79,10
315,COOPER CONNOLLY,AUSTRALIA,ALL ROUNDER,100,80,76,74,68,77,77,10
